onset	duration	sample	type	value
37.7744540224628	n/a	45330.3448269553	wav_onset	10
37.7860923444582	1.0775510204112	45344.3108133499	word_onset_01	"sp"
37.7860923444582	1.0775510204112	45344.3108133499	phoneme_onset_01	"sp"
38.8636433648694	0.129705215419999	46637.3720378433	word_onset_01	"THE"
38.8636433648694	0.0598639455800003	46637.3720378433	phoneme_onset_01	"DH"
38.9235073104494	0.0698412698399989	46709.2087725393	phoneme_onset_01	"IY0"
38.9933485802894	0.678458049879997	46793.0182963473	word_onset_01	"ADVENTURES"
38.9933485802894	0.0299319727900001	46793.0182963473	phoneme_onset_01	"AH0"
39.0232805530794	0.0498866213100033	46828.9366636953	phoneme_onset_01	"D"
39.0731671743894	0.0598639455800003	46888.8006092673	phoneme_onset_01	"V"
39.1330311199694	0.0698412698399928	46960.6373439633	phoneme_onset_01	"EH1"
39.2028723898094	0.0997732426300051	47044.4468677713	phoneme_onset_01	"N"
39.3026456324394	0.129705215419999	47164.1747589273	phoneme_onset_01	"CH"
39.4323508478594	0.0698412698399989	47319.8210174313	phoneme_onset_01	"ER0"
39.5021921176994	0.169614512469998	47403.6305412393	phoneme_onset_01	"Z"
39.6718066301694	0.0897959183700004	47607.1679562033	word_onset_01	"OF"
39.6718066301694	0.0299319727900062	47607.1679562033	phoneme_onset_01	"AH0"
39.7017386029594	0.0598639455799942	47643.0863235513	phoneme_onset_01	"V"
39.7616025485394	0.488888888890003	47714.9230582473	word_onset_01	"SHERLOCK"
39.7616025485394	0.199546485260004	47714.9230582473	phoneme_onset_01	"SH"
39.9611490337994	0.0299319727900001	47954.3788405593	phoneme_onset_01	"ER1"
39.9910810065894	0.139682539679998	47990.2972079073	phoneme_onset_01	"L"
40.1307635462694	0.0299319727900001	48157.9162555233	phoneme_onset_01	"AA2"
40.1606955190594	0.0897959183700004	48193.8346228713	phoneme_onset_01	"K"
40.2504914374294	0.698412698409999	48301.5897249153	word_onset_01	"HOLMES"
40.2504914374294	0.0598639455800003	48301.5897249153	phoneme_onset_01	"HH"
40.3103553830094	0.0598639455800003	48373.4264596113	phoneme_onset_01	"OW1"
40.3702193285894	0.249433106570001	48445.2631943073	phoneme_onset_01	"M"
40.6196524351594	0.329251700679997	48744.5829221913	phoneme_onset_01	"Z"
40.9489041358394	0.738321995470002	49139.6849630073	word_onset_01	"sp"
40.9489041358394	0.738321995470002	49139.6849630073	phoneme_onset_01	"sp"
41.6872261313094	0.149659863940002	50025.6713575713	word_onset_01	"A"
41.6872261313094	0.149659863940002	50025.6713575713	phoneme_onset_01	"AH0"
41.8368859952494	0.698412698419997	50205.2631942993	word_onset_01	"SCANDAL"
41.8368859952494	0.179591836739995	50205.2631942993	phoneme_onset_01	"S"
42.0164778319894	0.0498866213100033	50420.7733983873	phoneme_onset_01	"K"
42.0663644532994	0.129705215419999	50480.6373439593	phoneme_onset_01	"AE1"
42.1960696687194	0.0698412698399989	50636.2836024633	phoneme_onset_01	"N"
42.2659109385594	0.0299319727900001	50720.0931262713	phoneme_onset_01	"D"
42.2958429113494	0.0399092970500048	50756.0114936193	phoneme_onset_01	"AH0"
42.3357522083994	0.199546485269996	50803.9026500793	phoneme_onset_01	"L"
42.5352986936694	0.179591836729996	51043.3584324033	word_onset_01	"sp"
42.5352986936694	0.179591836729996	51043.3584324033	phoneme_onset_01	"sp"
42.7148905303994	0.229478458050004	51258.8686364793	word_onset_01	"IN"
42.7148905303994	0.129705215420005	51258.8686364793	phoneme_onset_01	"IH1"
42.8445957458194	0.099773242629999	51414.5148949833	phoneme_onset_01	"N"
42.9443689884494	0.558730158730001	51534.2427861393	word_onset_01	"BOHEMIA"
42.9443689884494	0.0698412698399989	51534.2427861393	phoneme_onset_01	"B"
43.0142102582894	0.0698412698399989	51618.0523099473	phoneme_onset_01	"OW0"
43.0840515281294	0.109750566900002	51701.8618337553	phoneme_onset_01	"HH"
43.1938020950294	0.0798185940999974	51833.5625140353	phoneme_onset_01	"IY1"
43.2736206891294	0.0798185940999974	51929.3448269553	phoneme_onset_01	"M"
43.3534392832294	0.119727891160007	52025.1271398753	phoneme_onset_01	"IY0"
43.4731671743894	0.0299319727900001	52168.8006092673	phoneme_onset_01	"AH0"
43.5030991471794	2.54421768706999	52204.7189766153	word_onset_01	"sp"
43.5030991471794	2.54421768706999	52204.7189766153	phoneme_onset_01	"sp"
46.0473168342494	0.169614512480002	55257.7802010993	word_onset_01	"TO"
46.0473168342494	0.0798185941100019	55257.7802010993	phoneme_onset_01	"T"
46.1271354283594	0.0897959183700004	55353.5625140313	phoneme_onset_01	"UW1"
46.2169313467294	0.429024943309996	55461.3176160753	word_onset_01	"SHERLOCK"
46.2169313467294	0.149659863940002	55461.3176160753	phoneme_onset_01	"SH"
46.3665912106694	0.0299319727899941	55640.9094528033	phoneme_onset_01	"ER1"
46.3965231834594	0.0997732426300051	55676.8278201513	phoneme_onset_01	"L"
46.4962964260894	0.0498866213199957	55796.5557113073	phoneme_onset_01	"AA2"
46.5461830474094	0.099773242629999	55856.4196568913	phoneme_onset_01	"K"
46.6459562900394	0.508843537410006	55976.1475480473	word_onset_01	"HOLMES"
46.6459562900394	0.0299319727900062	55976.1475480473	phoneme_onset_01	"HH"
46.6758882628294	0.099773242629999	56012.0659153953	phoneme_onset_01	"OW1"
46.7756615054594	0.169614512469998	56131.7938065513	phoneme_onset_01	"M"
46.9452760179294	0.209523809520003	56335.3312215153	phoneme_onset_01	"Z"
47.1547998274494	0.399092970520002	56586.7597929393	word_onset_01	"sp"
47.1547998274494	0.399092970520002	56586.7597929393	phoneme_onset_01	"sp"
47.5538927979694	0.219501133789994	57065.6713575633	word_onset_01	"SHE"
47.5538927979694	0.129705215419993	57065.6713575633	phoneme_onset_01	"SH"
47.6835980133894	0.0897959183700004	57221.3176160673	phoneme_onset_01	"IY1"
47.7733939317594	0.209523809570001	57329.0727181113	word_onset_01	"IS"
47.7733939317594	0.0498866212699977	57329.0727181113	phoneme_onset_01	"IH1"
47.8232805530294	0.159637188300003	57388.9366636353	phoneme_onset_01	"Z"
47.9829177413294	0.798185941000005	57580.5012895953	word_onset_01	"ALWAYS"
47.9829177413294	0.0798185940999974	57580.5012895953	phoneme_onset_01	"AO1"
48.0627363354294	0.159637188200001	57676.2836025153	phoneme_onset_01	"L"
